Opened,Open,High,Low,Close,Volume
2021-09-26 21:40:00,58.460,58.724,58.285,58.373,16692.4
2021-09-26 21:45:00,58.373,58.673,58.373,58.673,7961.8
2021-09-26 21:50:00,58.672,58.743,58.487,58.521,20401.9
2021-09-26 21:55:00,58.512,58.879,58.503,58.693,15111.2
2021-09-26 22:00:00,58.694,58.826,58.431,58.816,20266.0
2021-09-26 22:05:00,58.825,59.094,58.800,58.830,38941.5
2021-09-26 22:10:00,58.830,58.856,58.604,58.669,19371.8
2021-09-26 22:15:00,58.663,58.791,58.442,58.481,20358.3
2021-09-26 22:20:00,58.475,58.649,58.458,58.540,8106.0
2021-09-26 22:25:00,58.540,58.596,58.313,58.337,15219.6
2021-09-26 22:30:00,58.347,58.399,58.172,58.207,16146.6
2021-09-26 22:35:00,58.207,58.209,57.688,57.795,29286.3
2021-09-26 22:40:00,57.795,57.889,57.617,57.623,22319.9
2021-09-26 22:45:00,57.623,57.627,56.460,56.761,205445.5
2021-09-26 22:50:00,56.756,56.942,56.130,56.388,66227.3
2021-09-26 22:55:00,56.392,56.427,55.209,55.533,186146.8
2021-09-26 23:00:00,55.531,56.278,55.202,55.260,135121.7
2021-09-26 23:05:00,55.243,55.712,55.062,55.656,99469.1
2021-09-26 23:10:00,55.652,56.082,55.471,55.801,76669.4
2021-09-26 23:15:00,55.794,55.858,55.412,55.474,69786.3
2021-09-26 23:20:00,55.477,55.709,55.451,55.509,39557.7
2021-09-26 23:25:00,55.511,55.673,54.669,54.916,84575.2
2021-09-26 23:30:00,54.916,55.182,54.641,54.839,95749.0
2021-09-26 23:35:00,54.831,55.195,54.748,54.973,55560.7
2021-09-26 23:40:00,54.974,55.397,54.969,55.222,31111.2
2021-09-26 23:45:00,55.222,55.620,55.203,55.529,44078.5
2021-09-26 23:50:00,55.528,55.808,55.435,55.700,43882.0
2021-09-26 23:55:00,55.699,55.871,55.564,55.740,34831.7
2021-09-27 00:00:00,55.742,55.864,55.463,55.703,62303.8
2021-09-27 00:05:00,55.712,55.796,55.080,55.122,51154.9
2021-09-27 00:10:00,55.123,55.367,55.069,55.185,28829.7
2021-09-27 00:15:00,55.175,55.175,54.762,54.795,63621.7
2021-09-27 00:20:00,54.798,55.066,54.649,54.887,63051.0
2021-09-27 00:25:00,54.880,55.158,54.871,55.125,27577.1
2021-09-27 00:30:00,55.118,55.500,55.118,55.374,36163.1
2021-09-27 00:35:00,55.366,55.716,55.330,55.697,27851.5
2021-09-27 00:40:00,55.686,56.323,55.639,56.321,56278.9
2021-09-27 00:45:00,56.312,56.664,56.065,56.609,52956.1
2021-09-27 00:50:00,56.612,57.288,56.609,57.023,79333.5
2021-09-27 00:55:00,57.020,57.460,57.000,57.153,51467.2
2021-09-27 01:00:00,57.174,57.396,56.599,56.912,70419.4
2021-09-27 01:05:00,56.912,57.062,56.624,56.777,38504.7
2021-09-27 01:10:00,56.788,58.000,56.784,57.942,85205.1
2021-09-27 01:15:00,57.917,59.406,57.773,58.336,242463.4
2021-09-27 01:20:00,58.336,58.686,58.315,58.557,44388.1
2021-09-27 01:25:00,58.559,58.869,58.476,58.489,50580.4
2021-09-27 01:30:00,58.484,58.737,58.182,58.537,66082.5
